x,y
1.37103e+06,1.37103e+06
1.37103e+06,613650
1.37103e+06,359218
1.37103e+06,248103
1.37103e+06,188767
1.37103e+06,152539
1.37103e+06,128375
1.37103e+06,111228
1.37103e+06,98487.4
1.37103e+06,88678
1.37103e+06,80908.9
1.37103e+06,74613.7
1.37103e+06,69416.5
1.37103e+06,65058.2
1.37103e+06,61354.7
1.37103e+06,58171.5
1.37103e+06,55408
1.37103e+06,52987.5
1.37103e+06,50850.4
1.37103e+06,48949.9
1.37103e+06,47248.5
1.37103e+06,45716.2
1.37103e+06,44328.5
1.37103e+06,43065.3
1.37103e+06,41910.1
1.37103e+06,40848.9
1.37103e+06,39870.3
1.37103e+06,38964.4
1.37103e+06,38123.1
1.37103e+06,37339.3
1.37103e+06,36607
1.37103e+06,35921.1
1.37103e+06,35276.9
1.37103e+06,34670.8
1.37103e+06,34099.2
1.37103e+06,33559.3
1.37103e+06,33048.3
1.37103e+06,32564
1.37103e+06,32104.4
1.37103e+06,31667.5
1.37103e+06,31251.9
1.37103e+06,30855.9
1.37103e+06,30478.3
1.37103e+06,30117.9
1.37103e+06,29773.5
1.37103e+06,29444.3
1.37103e+06,29129.2
1.37103e+06,28827.5
1.37103e+06,28538.4
1.37103e+06,28261.1
1.37103e+06,27995.1
1.37103e+06,27739.8
1.37103e+06,27494.5
1.37103e+06,27258.8
1.37103e+06,27032.1
1.37103e+06,26814.1
1.37103e+06,26604.3
1.37103e+06,26402.4
1.37103e+06,26207.8
1.37103e+06,26020.4
1.37103e+06,25839.7
1.37103e+06,25665.5
1.37103e+06,25497.5
1.37103e+06,25335.3
1.37103e+06,25178.9
1.37103e+06,25027.8
1.37103e+06,24881.9
1.37103e+06,24741
1.37103e+06,24604.8
1.37103e+06,24473.1
1.37103e+06,24345.9
1.37103e+06,24222.8
1.37103e+06,24103.8
1.37103e+06,23988.6
1.37103e+06,23877.2
1.37103e+06,23769.3
1.37103e+06,23664.8
1.37103e+06,23563.7
1.37103e+06,23465.7
1.37103e+06,23370.8
1.37103e+06,23278.9
1.37103e+06,23189.8
1.37103e+06,23103.4
1.37103e+06,23019.6
1.37103e+06,22938.4
1.37103e+06,22859.7
1.37103e+06,22783.3
1.37103e+06,22709.2
1.37103e+06,22637.3
1.37103e+06,22567.6
1.37103e+06,22499.8
1.37103e+06,22434.1
1.37103e+06,22370.3
1.37103e+06,22308.4
1.37103e+06,22248.2
1.37103e+06,22189.8
1.37103e+06,22133
1.37103e+06,22077.9
1.37103e+06,22024.3
1.37103e+06,21972.3
1.37103e+06,21921.7
1.37103e+06,21872.5
1.37103e+06,21824.7
