x,y
1.37103e+06,0
82261,-0.0297032
733493,-0.420303
139851,-0.0124449
466501,-0.329954
-33641,-0.0291871
-171033,0.0930051
23949,-0.0501617
81009,-0.0973624
15439,0.00646617
-346565,-0.328481
-118691,-0.324674
160267,0.0174635
145713,-0.347161
-267307,-0.62386
11583,-0.00298371
268287,-0.531388
57185,0.0826328
46089,0.00981921
117039,-0.209532
39265,0.204739
-100221,-0.361557
-182933,-0.153399
-40367,-0.0352401
6397,0.0306348
14683,-0.0580807
-5841,0.112145
-117183,-0.278961
-14177,0.286754
38501,-0.0448381
-26415,0.105749
-93365,0.366198
116249,-0.222714
-97289,0.0850486
-12241,-0.232647
82329,0.115722
99035,0.0308308
-59607,-0.0490192
-29455,0.286212
120011,0.552048
23851,0.184762
49733,0.214068
102681,0.615806
40271,-0.0482086
63461,0.337325
71031,-0.272539
142291,0.557657
61569,-0.129445
-44207,0.238469
-105561,-0.368605
-178817,0.526715
82481,0.574289
120787,-0.21466
-176295,-0.363308
-13823,-0.280736
11747,-0.0527868
103075,-0.0169378
-171547,1.33824
175785,-0.0349928
-172585,1.46037
-191579,-0.0710488
134927,0.602398
-118869,-0.0325373
133889,0.273411
80917,-0.404433
44159,0.0499282
115721,0.301757
-17517,-0.116223
118689,0.700129
-2449,0.316973
153493,0.242275
-64125,0.638789
-7057,0.00183129
-103999,-0.174192
18947,-0.133936
-174347,-0.826973
-45845,0.500175
-3103,0.18812
-19841,-0.0834228
-73451,0.202241
109957,0.152446
-66377,0.0730302
-3231,-0.109101
-76781,0.859466
-49271,-0.815156
13079,0.566893
-162459,0.288311
2675,0.221823
-32017,-0.885802
88929,-0.0969197
-154005,1.07944
69853,-0.356542
15283,0.061498
150257,0.324454
-106705,0.120195
131181,-2.27539
-8730,0.838908
-118604,0.587044
57904,-0.423657
-99102,-0.126238
-27770,0.0068814
79732,-0.138571
38864,-0.0498081
99234,-0.160941
-46166,0.299142
-26240,0.385966
11668,0.39726
-15410,0.258989
-6938,-0.917456
10012,0.2791
50896,0.0739339
20842,-0.194491
47892,-0.146145
40450,0.208139
-97126,1.32801
-51132,-1.30867
153740,0.674196
81994,-0.304383
8722,-0.00746511
-9588,-0.267744
158188,-0.114474
67722,-1.40651
4370,0.467736
-32532,-1.32688
-79560,0.644876
-14570,3.22606
-233378,-0.947108
-114824,1.17871
121821,0
-244773,0.0773175
106775,0.0266265
-62095,0.00285199
30287,0.00460859
60741,0.0542913
15241,-0.00317999
243419,0.309288
-11877,0.0791071
94965,-0.033534
-34275,0.0741252
267523,0.731518
-32659,0.0204236
8871,0.0216776
-55057,0.152866
181429,-0.0604616
34673,0.0422259
111759,0.0864814
13419,0.00493072
72549,-0.122752
-68461,-0.0893112
-27831,-0.365496
-89715,-0.157407
-67041,-0.250613
94415,-0.0565087
45753,0.0373917
65809,-0.285905
-3577,-0.352613
-87319,-0.335423
149891,0.156949
-115925,0.0150197
100561,-0.238133
-27285,0.10834
-113355,-0.1952
82417,0.149002
4447,-0.040872
-15003,-0.0179886
-248473,0.231066
94699,-0.297529
-130671,-0.891059
-8459,-0.0147293
-295413,-0.161663
91251,0.695474
-185091,-0.0834664
-88625,-0.82918
-55723,0.560237
11085,-0.173764
54599,0.786691
-165461,0.196885
-62659,0.652521
-60015,0.160882
-131961,-0.708696
-99259,0.560327
96543,0.586758
6187,0.149884
27241,0.16977
-45883,-0.481238
193315,-1.70634
49571,-0.0427431
116533,0.60022
-35929,0.0508405
-29771,-2.84743
59525,-0.231254
-106553,-2.71262
-63651,0.404433
-145001,-0.0468179
31053,-0.31135
-146985,0.12934
-207095,-0.590381
145111,-0.225875
-112391,-0.238661
143127,-0.633183
-27153,0.0817575
-36143,0.190063
-122849,0.172237
170513,0.642033
115899,-0.528197
-86559,0.277943
20203,0.232957
120097,-0.167375
44633,-0.227941
-18117,-0.114706
88177,0.0689659
128003,-0.85183
51277,0.81663
-106533,-0.650654
94821,-0.189362
39587,-0.413834
160371,0.824247
-134203,0.191862
13515,-0.684626
220557,1.20107
66983,0.210203
304965,-0.469388
-79873,-0.211555
659725,1.84033
11629,-0.51217
-22221,0.329264
13327,0.311451
-20627,-0.0350956
-100681,0.626347
13641,-0.215172
-98983,-0.408154
15235,-0.0179489
2795,0.00894003
-28307,-0.278688
-86307,-0.752402
81943,-0.663239
64733,1.26107
-21533,-0.104925
-24369,-0.0363979
88717,-1.22324
-40719,-0.387117
-20261,-0.141083
65899,-0.635973
86253,1.37898
-40213,-0.27351
-75215,0.25396
66405,-0.773049
31299,0.128592
7803,0.0442652
-77607,1.16514
23621,0.355942
137563,0.289777
69957,-0.45606
133015,-1.64006
85775,0.530018
348185,-0.133566
